gi|257424630|ref|NZ_GG700535.1|_N1	3538	3580	+
gi|257424630|ref|NZ_GG700535.1|_N2	4923	5977	+
gi|257424630|ref|NZ_GG700535.1|_N3	8311	8354	+
gi|257424630|ref|NZ_GG700535.1|_N4	17435	17511	+
gi|257424630|ref|NZ_GG700535.1|_N5	24819	24869	+
gi|257424630|ref|NZ_GG700535.1|_N6	31837	31901	+
gi|257424630|ref|NZ_GG700535.1|_N7	39815	40336	+
gi|257424630|ref|NZ_GG700535.1|_N8	44697	44760	+
gi|257424630|ref|NZ_GG700535.1|_N9	49160	49599	+
gi|257424630|ref|NZ_GG700535.1|_N10	51545	52718	+
gi|257424630|ref|NZ_GG700535.1|_N11	56386	57750	+
gi|257424630|ref|NZ_GG700535.1|_N12	60435	60612	+
gi|257424630|ref|NZ_GG700535.1|_N13	62398	62450	+
gi|257424630|ref|NZ_GG700535.1|_N14	81480	81551	+
gi|257424630|ref|NZ_GG700535.1|_N15	88273	88710	+
gi|257424630|ref|NZ_GG700535.1|_N16	92932	94840	+
gi|257424630|ref|NZ_GG700535.1|_N17	96952	96986	+
gi|257424630|ref|NZ_GG700535.1|_N18	101062	101094	+
gi|257424630|ref|NZ_GG700535.1|_N19	108807	108865	+
gi|257424630|ref|NZ_GG700535.1|_N20	111405	112282	+
gi|257424630|ref|NZ_GG700535.1|_N21	124724	124788	+
gi|257424630|ref|NZ_GG700535.1|_N22	129331	129375	+
gi|257424630|ref|NZ_GG700535.1|_N23	130718	130778	+
gi|257424630|ref|NZ_GG700535.1|_N24	135597	135623	+
gi|257424630|ref|NZ_GG700535.1|_N25	142207	142269	+
gi|257424630|ref|NZ_GG700535.1|_N26	147316	147373	+
gi|257424630|ref|NZ_GG700535.1|_N27	150880	150930	+
gi|257424630|ref|NZ_GG700535.1|_N28	154005	154075	+
gi|257424630|ref|NZ_GG700535.1|_N29	160279	160438	+
gi|257424630|ref|NZ_GG700535.1|_N30	165846	165874	+
gi|257424630|ref|NZ_GG700535.1|_N31	167876	168013	+
gi|257424630|ref|NZ_GG700535.1|_N32	170938	172033	+
gi|257424630|ref|NZ_GG700535.1|_N33	173597	173795	+
gi|257424630|ref|NZ_GG700535.1|_N34	176174	177362	+
gi|257424630|ref|NZ_GG700535.1|_N35	182110	182175	+
gi|257424630|ref|NZ_GG700535.1|_N36	184690	184744	+
gi|257424630|ref|NZ_GG700535.1|_N37	186236	186305	+
gi|257424630|ref|NZ_GG700535.1|_N38	189581	189618	+
gi|257424630|ref|NZ_GG700535.1|_N39	204149	204210	+
gi|257424630|ref|NZ_GG700535.1|_N40	209752	209811	+
gi|257424630|ref|NZ_GG700535.1|_N41	214268	214332	+
gi|257424630|ref|NZ_GG700535.1|_N42	218672	218734	+
gi|257424630|ref|NZ_GG700535.1|_N43	225040	225100	+
gi|257424630|ref|NZ_GG700535.1|_N44	235488	235548	+
gi|257424630|ref|NZ_GG700535.1|_N45	239585	239646	+
gi|257424630|ref|NZ_GG700535.1|_N46	254456	254500	+
gi|257424630|ref|NZ_GG700535.1|_N47	259606	259669	+
gi|257424630|ref|NZ_GG700535.1|_N48	269777	269815	+
gi|257424630|ref|NZ_GG700535.1|_N49	273943	274027	+
gi|257424630|ref|NZ_GG700535.1|_N50	277675	278139	+
gi|257424630|ref|NZ_GG700535.1|_N51	290125	290201	+
gi|257424630|ref|NZ_GG700535.1|_N52	291508	293246	+
gi|257424630|ref|NZ_GG700535.1|_N53	297174	299588	+
gi|257424630|ref|NZ_GG700535.1|_N54	301794	304407	+
gi|257424630|ref|NZ_GG700535.1|_N55	306117	306180	+
gi|257424630|ref|NZ_GG700535.1|_N56	316939	316973	+
gi|257424630|ref|NZ_GG700535.1|_N57	319619	321310	+
gi|257424630|ref|NZ_GG700535.1|_N58	322574	323355	+
gi|257424630|ref|NZ_GG700535.1|_N59	328779	328842	+
gi|257424630|ref|NZ_GG700535.1|_N60	330857	333247	+
gi|257424630|ref|NZ_GG700535.1|_N61	335573	335636	+
gi|257424630|ref|NZ_GG700535.1|_N62	336755	336818	+
gi|257424630|ref|NZ_GG700535.1|_N63	342909	344184	+
gi|257424630|ref|NZ_GG700535.1|_N64	353651	353704	+
gi|257424630|ref|NZ_GG700535.1|_N65	364352	364415	+
gi|257424630|ref|NZ_GG700535.1|_N66	396790	397379	+
gi|257424630|ref|NZ_GG700535.1|_N67	398808	398872	+
gi|257424630|ref|NZ_GG700535.1|_N68	406233	406604	+
gi|257424630|ref|NZ_GG700535.1|_N69	408111	409951	+
gi|257424630|ref|NZ_GG700535.1|_N70	413666	414141	+
gi|257424630|ref|NZ_GG700535.1|_N71	418658	419018	+
gi|257424630|ref|NZ_GG700535.1|_N72	420211	421298	+
gi|257424630|ref|NZ_GG700535.1|_N73	423161	424187	+
gi|257425046|ref|NZ_GG700536.1|_N1	6186	6311	+
